date,diesel_price,gasoline_price
2022-04-04 00:00:00,8.543,7.925
2022-04-05 00:00:00,8.538,7.874
2022-04-06 00:00:00,8.556,7.874
2022-04-07 00:00:00,8.592,7.869
2022-04-08 00:00:00,8.571,7.854
2022-04-09 00:00:00,8.568,7.841
2022-04-10 00:00:00,8.568,7.841
2022-04-11 00:00:00,8.568,7.841
2022-05-02 00:00:00,8.789,7.874
2022-05-03 00:00:00,8.791,7.877
2022-05-04 00:00:00,8.825,7.907
2022-05-05 00:00:00,8.876,7.943
2022-05-06 00:00:00,8.896,7.966
2022-05-07 00:00:00,8.902,7.982
2022-05-08 00:00:00,8.914,8.002
2022-05-09 00:00:00,8.92,8.007
2022-05-10 00:00:00,8.979,8.043
2022-05-11 00:00:00,8.989,8.082
2022-05-12 00:00:00,8.989,8.082
2022-05-13 00:00:00,8.989,8.097
2022-05-14 00:00:00,9.009,8.161
2022-05-15 00:00:00,9.009,8.161
2022-05-16 00:00:00,9.009,8.161
2022-05-17 00:00:00,9.009,8.207
2022-05-18 00:00:00,9.009,8.243
2022-05-19 00:00:00,9.009,8.251
2022-05-20 00:00:00,9.009,8.294
2022-05-21 00:00:00,8.891,8.192
2022-05-22 00:00:00,8.891,8.192
2022-05-23 00:00:00,9.004,8.294
2022-05-24 00:00:00,9.004,8.294
2022-05-25 00:00:00,9.004,8.333
2022-05-26 00:00:00,9.004,8.333
2022-05-27 00:00:00,9.004,8.333
2022-05-28 00:00:00,8.894,8.238
2022-05-29 00:00:00,8.907,8.246
2022-05-30 00:00:00,9.007,8.343
2022-05-31 00:00:00,9.045,8.412
2022-06-01 00:00:00,9.048,8.456
2022-06-02 00:00:00,9.078,8.456
2022-06-03 00:00:00,9.078,8.456
2022-06-04 00:00:00,9.004,8.394
2022-06-05 00:00:00,9.004,8.394
2022-06-06 00:00:00,9.15,8.53
2022-06-07 00:00:00,9.168,8.538
2022-06-08 00:00:00,9.201,8.571
2022-06-09 00:00:00,9.232,8.61
2022-06-10 00:00:00,9.273,8.645
2022-06-11 00:00:00,9.176,8.589
2022-06-12 00:00:00,9.176,8.589
2022-06-13 00:00:00,9.345,8.753
2022-06-14 00:00:00,9.345,8.753
2022-06-15 00:00:00,9.376,8.776
2022-06-16 00:00:00,9.376,8.776
2022-06-17 00:00:00,9.391,8.791
2022-06-18 00:00:00,9.299,8.712
2022-06-19 00:00:00,9.299,8.704
2022-06-20 00:00:00,9.417,8.815
2022-06-21 00:00:00,9.417,8.815
2022-06-22 00:00:00,9.417,8.815
2022-06-23 00:00:00,9.412,8.815
2022-06-24 00:00:00,9.412,8.815
2022-06-25 00:00:00,9.294,8.704
2022-06-26 00:00:00,9.294,8.704
2022-06-27 00:00:00,9.412,8.815
2022-06-28 00:00:00,9.412,8.815
2022-06-29 00:00:00,9.412,8.815
2022-06-30 00:00:00,9.412,8.815
2022-07-01 00:00:00,8.904,8.312
2022-07-02 00:00:00,8.904,8.312
2022-07-03 00:00:00,8.904,8.312
2022-07-04 00:00:00,8.899,8.302
2022-07-05 00:00:00,8.899,8.302
2022-07-06 00:00:00,8.899,8.302
2022-07-07 00:00:00,8.899,8.302
2022-07-08 00:00:00,8.899,8.302
2022-07-09 00:00:00,8.899,8.302
2022-07-10 00:00:00,8.899,8.302
2022-07-11 00:00:00,8.899,8.302
2022-07-12 00:00:00,8.899,8.302
2022-07-13 00:00:00,8.899,8.302
2022-07-14 00:00:00,8.899,8.302
2022-07-15 00:00:00,8.899,8.271
2022-07-16 00:00:00,8.899,8.261
2022-07-17 00:00:00,8.899,8.23
2022-07-18 00:00:00,8.899,8.225
2022-07-19 00:00:00,8.899,8.225
2022-07-20 00:00:00,8.899,8.225
2022-07-21 00:00:00,8.745,8.077
2022-07-22 00:00:00,8.745,8.069
2022-07-23 00:00:00,8.745,8.069
2022-07-24 00:00:00,8.745,8.069
2022-07-25 00:00:00,8.745,8.069
2022-07-26 00:00:00,8.745,8.069
2022-07-27 00:00:00,8.694,8.02
2022-07-28 00:00:00,8.694,8.012
2022-07-29 00:00:00,8.694,8.002
2022-07-30 00:00:00,8.694,8.002
2022-07-31 00:00:00,8.694,8.002
2022-08-01 00:00:00,8.694,8.002
2022-08-02 00:00:00,8.643,8.002
2022-08-03 00:00:00,8.54,7.913
2022-08-04 00:00:00,8.54,7.879
2022-08-05 00:00:00,8.54,7.871
2022-08-06 00:00:00,8.54,7.864
2022-08-07 00:00:00,8.54,7.864
2022-08-08 00:00:00,8.438,7.779
2022-08-09 00:00:00,8.438,7.761
2022-08-10 00:00:00,8.335,7.728
